cin,company_name,company_status,company_class,company_category,registered_state,registrar_of_companies,date_of_registration,brand_name,official_domain,official_website,domain_status,domain_match_type,primary_authority,reference_dataset,verification_note
L72200DL2004PTC128882,WIPRO LIMITED,Active,Company limited by shares,Public,Karnataka,ROC Bangalore,29-Dec-1945,Wipro,wipro.com,https://www.wipro.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L72200KA1981PLC013115,INFOSYS LIMITED,Active,Company limited by shares,Public,Karnataka,ROC Bangalore,02-Jul-1981,Infosys,infosys.com,https://www.infosys.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L74140MH1995PLC087082,TATA CONSULTANCY SERVICES LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,19-Jan-1995,TCS,tcs.com,https://www.tcs.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L65110MH1994PLC080870,HDFC BANK LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,30-Aug-1994,HDFC Bank,hdfcbank.com,https://www.hdfcbank.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L65191PN1994PLC076333,ICICI BANK LIMITED,Active,Company limited by shares,Public,Gujarat,ROC Ahmedabad,05-Jan-1994,ICICI Bank,icicibank.com,https://www.icicibank.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L17110MH1973PLC019786,RELIANCE INDUSTRIES LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,08-May-1973,Reliance Industries,ril.com,https://www.ril.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L28920MH1945PLC004520,TATA MOTORS LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,01-Sep-1945,Tata Motors,tatamotors.com,https://www.tatamotors.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L32102DL1995PLC070609,BHARTI AIRTEL LIMITED,Active,Company limited by shares,Public,Delhi,ROC Delhi,07-Jul-1995,Airtel,airtel.in,https://www.airtel.in,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L85110KA1981PLC013145,LARSEN & TOUBRO LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,07-Feb-1946,L&T,larsentoubro.com,https://www.larsentoubro.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
L24239MH1935PLC002380,CIPLA LIMITED,Active,Company limited by shares,Public,Maharashtra,ROC Mumbai,17-Aug-1935,Cipla,cipla.com,https://www.cipla.com,Active Domain,Direct Match Exact,"Ministry of Corporate Affairs (MCA), Government of India",Company Master Sample - Company Master Dataset - MCA Portal India,Standard corporate verification record matching registered MCA enterprise catalog entry.
